name,enabled,n_phases,n_conds,base_freq,terminal1,terminal2,connection,num_steps,spec_type,kvar,kv,c,r,xl
b4909-1,true,3,3,60,b4909,,wye,1,kvar,[ 900 ],12.47,[ 0.00001535247800095223 ],[ 0 ],[ 0 ]
b18944,true,3,3,60,b18941,,wye,1,kvar,[ 1200 ],12.47,[ 0.00002046997066793631 ],[ 0 ],[ 0 ]
b4862-1,true,3,3,60,b4862,,wye,1,kvar,[ 600 ],12.47,[ 0.00001023498533396816 ],[ 0 ],[ 0 ]
b4829-1,true,3,3,60,b4829,,wye,1,kvar,[ 600 ],12.47,[ 0.00001023498533396816 ],[ 0 ],[ 0 ]
b4877-1,true,3,3,60,b4877,,wye,1,kvar,[ 600 ],12.47,[ 0.00001023498533396816 ],[ 0 ],[ 0 ]
